"Soil_table","Trt","mean_diff_all"
"Alfisols","All",0
"Alfisols","All-B",1.07241139074613
"Alfisols","All-K",-1.42013391815465
"Alfisols","All-KSZnB",-1.08875153071648
"Alfisols","All-N",-33.2004771760729
"Alfisols","All-P",-5.25865396227709
"Alfisols","All-S",-2.44435311539782
"Alfisols","All-Zn",-1.10510281528421
"Alfisols","Control",-36.0702150859631
"Alfisols","recNP+S2",-4.87560609827371
"Andosols","All",0
"Andosols","All-B",10.2162895841951
"Andosols","All-K",13.0823686024096
"Andosols","All-KSZnB",19.5009588294664
"Andosols","All-N",-20.6433357309617
"Andosols","All-P",8.35852309166121
"Andosols","All-S",15.2540698005834
"Andosols","All-Zn",9.73764089305706
"Andosols","Control",-28.3492758123945
"Andosols","recNP+S2",13.0613999970579
"Arenosols","All",0
"Arenosols","All-B",-18.7886532668002
"Arenosols","All-K",10.9840257719126
"Arenosols","All-KSZnB",-5.61652388388788
"Arenosols","All-N",-11.054900119756
"Arenosols","All-P",13.6297537635059
"Arenosols","All-S",5.81684974626788
"Arenosols","All-Zn",-24.8005990131273
"Arenosols","Control",-36.0878190722347
"Arenosols","recNP+S2",-4.15122186635555
"Cambisols","All",0
"Cambisols","All-B",0.419077227301952
"Cambisols","All-K",-6.41876037485498
"Cambisols","All-KSZnB",-10.6255280417249
"Cambisols","All-N",-55.2494808282152
"Cambisols","All-P",-9.25820147129995
"Cambisols","All-S",1.83605050325201
"Cambisols","All-Zn",2.77508487981506
"Cambisols","Control",-63.6626622208523
"Cambisols","recNP+S2",-1.67266311623595
"Fluvisols","All",0
"Fluvisols","All-B",-0.697377131458253
"Fluvisols","All-K",-5.13558815216883
"Fluvisols","All-KSZnB",-5.30403982572219
"Fluvisols","All-N",-35.2935173732949
"Fluvisols","All-P",-16.0017236243076
"Fluvisols","All-S",-2.27009355161888
"Fluvisols","All-Zn",-5.45488727290512
"Fluvisols","Control",-40.4990875870298
"Fluvisols","recNP+S2",-5.84220405471889
"Luvisols","All",0
"Luvisols","All-K",-2.48627477899581
"Luvisols","All-KSZnB",1.07230839105981
"Luvisols","Control",-48.7437243349905
"Nitisols","All",0
"Nitisols","All-B",2.5424715022483
"Nitisols","All-K",1.18378325823073
"Nitisols","All-KSZnB",0.0238262905045149
"Nitisols","All-N",-42.0716954077047
"Nitisols","All-P",-15.2431321220177
"Nitisols","All-S",2.90605449303489
"Nitisols","All-Zn",1.36580602793044
"Nitisols","Control",-57.395270844375
"Nitisols","recNP+S2",-0.948897216982002
"Vertisols","All",0
"Vertisols","All-B",2.10772397555183
"Vertisols","All-K",1.45751204349273
"Vertisols","All-KSZnB",0.246173668281093
"Vertisols","All-N",-40.9117887310422
"Vertisols","All-P",-11.7923567193232
"Vertisols","All-S",-0.641254330400862
"Vertisols","All-Zn",-0.23517866326856
"Vertisols","Control",-54.0960591376919
"Vertisols","recNP+S2",-1.6971551524177
