"Region","Trt","mean_diff_all"
"Amhara","All",0
"Amhara","All-B",-0.999158396842725
"Amhara","All-K",-3.38275607885248
"Amhara","All-KSZnB",-3.70923545661254
"Amhara","All-N",-63.8443377173727
"Amhara","All-P",-13.1170019316923
"Amhara","All-S",-2.98822615113194
"Amhara","All-Zn",-0.835052487857171
"Amhara","Control",-67.4957916420334
"Amhara","recNP+S2",-2.38889476856606
"Oromia","All",0
"Oromia","All-B",2.55228989766455
"Oromia","All-K",3.32342176778371
"Oromia","All-KSZnB",2.96480381543148
"Oromia","All-N",-35.2115607377541
"Oromia","All-P",-11.680646671843
"Oromia","All-S",4.11266937948037
"Oromia","All-Zn",0.881466935728633
"Oromia","Control",-50.1208253624714
"Oromia","recNP+S2",0.0448262880507172
"SNNPR","All",0
"SNNPR","All-B",5.88720566802207
"SNNPR","All-K",1.69317876540524
"SNNPR","All-KSZnB",2.43018189069031
"SNNPR","All-N",-29.6988085621116
"SNNPR","All-P",-10.3109307548481
"SNNPR","All-S",4.51153706791451
"SNNPR","All-Zn",3.64250844533523
"SNNPR","Control",-40.641495085735
"SNNPR","recNP+S2",0.508870565728325
